"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-10-15T10:34:56.34+02:00[Europe/Belgrade]","0.0","3.79"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-10-15T10:35:00.365+02:00[Europe/Belgrade]","0.0","0.18"
